num,name,date,date_frac,jd,filter,wlen,alpha,alpha_jpl,pol,dpol,thp,dthp,Pr,dPr,pols,thr,PsAng,PsAng_jpl,observatory,reference,dalpha,dPsAng
1,Ceres,59/2/17,0.44,2436616.94,V,0.559,21.85,21.8691,0.95,,,,0.95,,,2.0,,282.904,McDonald 0.9,1974  Zellner,-0.02,
1,Ceres,59/4/17,0.42,2436675.92,I,0.952,11.07,11.0799,1.49,,,,-1.49,,,92.0,,266.94,McDonald 2.1,1974  Zellner,-0.01,
1,Ceres,59/4/17,0.42,2436675.92,V,0.559,11.07,11.0799,1.58,,,,-1.56,,,95.0,,266.94,McDonald 2.1,1974  Zellner,-0.01,
1,Ceres,59/4/17,0.42,2436675.92,U,0.362,11.07,11.0799,1.58,,,,-1.56,,,94.0,,266.94,McDonald 2.1,1974  Zellner,-0.01,
1,Ceres,59/8/2,0.22,2436782.72,V,0.559,21.23,21.2186,0.86,,,,0.84,,,-6.0,,106.319,McDonald 2.1,1974  Zellner,0.01,
1,Ceres,66/10/13,0.39,2439411.89,B,0.435,20.92,20.9726,0.68,0.04,,,0.67,,,5.9,,272.828,Catalina,1974  Zellner,-0.05,
1,Ceres,66/10/13,0.42,2439411.92,U,0.362,20.91,20.9701,0.6,0.16,,,0.51,,,16.2,,272.83,Catalina,1974  Zellner,-0.06,
1,Ceres,66/10/13,0.46,2439411.96,I,0.952,20.91,20.9668,0.91,0.14,,,0.8,,,-3.4,,272.833,Catalina,1974  Zellner,-0.06,
1,Ceres,66/10/13,0.48,2439411.98,O,0.645,20.91,20.9651,0.4,0.17,,,0.4,,,-1.3,,272.834,Catalina,1974  Zellner,-0.06,
1,Ceres,66/12/13,0.29,2439472.79,N,0.333,4.25,4.2578,1.67,0.02,,,-1.61,,,82.6,,260.574,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.3,2439472.8,B,0.435,4.25,4.2534,1.67,0.02,,,-1.61,,,82.6,,260.558,Catalina,1974  Zellner,0.0,
1,Ceres,66/12/13,0.31,2439472.81,G,0.518,4.24,4.249,1.58,0.02,,,-1.56,,,84.9,,260.542,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.33,2439472.83,U,0.362,4.23,4.2402,1.64,0.05,,,-1.67,,,85.1,,260.51,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.35,2439472.85,O,0.645,4.22,4.2314,1.45,0.09,,,-1.45,,,89.1,,260.478,Catalina,1974  Zellner,-0.01,
1,Ceres,66/12/13,0.36,2439472.86,I,0.952,4.22,4.227,1.28,0.1,,,-1.28,,,91.5,,260.462,Catalina,1974  Zellner,-0.01,
1,Ceres,71/11/28,0.37,2441283.87,B,0.435,21.73,21.73,0.92,0.02,,,0.92,,,1.2,,287.427,Steward,1974  Zellner,0.0,
1,Ceres,71/12/30,0.41,2441315.91,B,0.435,15.86,15.8598,0.56,0.04,,,-0.56,,,,,279.244,Catalina,1974  Zellner,0.0,
1,Ceres,72/1/2,0.4,2441318.9,B,0.435,14.99,14.9911,0.72,0.05,,,-0.72,,,,,277.615,Catalina,1974  Zellner,0.0,
1,Ceres,72/2/6,0.42,2441353.92,B,0.435,5.44,5.4372,1.68,0.02,,,-1.68,,,89.5,,196.258,Catalina,1976b Zellner,0.0,
1,Ceres,72/4/3,0.14,2441410.64,B,0.435,20.71,20.7029,0.71,0.03,,,0.71,,,0.2,,113.611,Catalina,1976b Zellner,0.01,
1,Ceres,72/4/27,0.14,2441434.64,B,0.435,23.08,23.0746,1.42,0.02,,,1.42,,,1.3,,109.396,Catalina,1976b Zellner,0.01,
1,Ceres,72/4/27,0.22,2441434.72,U,0.362,23.08,23.0778,1.4,0.07,,,1.38,,,5.0,,109.387,Catalina,1976b Zellner,0.0,
1,Ceres,72/4/27,0.24,2441434.74,G,0.518,23.08,23.0786,1.3,0.03,,,1.3,,,1.3,,109.385,Catalina,1976b Zellner,0.0,
1,Ceres,73/4/6,0.45,2441778.95,B,0.435,18.67,18.6794,0.12,0.03,,,0.12,,,0.0,,272.139,Catalina,1976b Zellner,-0.01,
1,Ceres,73/4/6,0.46,2441778.96,G,0.518,18.67,18.6777,0.15,0.05,,,0.15,,,7.5,,272.138,Catalina,1976b Zellner,-0.01,
1,Ceres,73/4/13,0.44,2441785.94,B,0.435,17.31,17.3087,0.24,0.01,,,-0.24,,,90.9,,271.363,Steward,1976b Zellner,0.0,
1,Ceres,73/4/13,0.44,2441785.94,G,0.518,17.31,17.3087,0.21,0.02,,,-0.21,,,88.7,,271.363,Steward,1976b Zellner,0.0,
1,Ceres,73/4/22,0.37,2441794.87,B,0.435,15.11,15.1121,0.82,0.04,,,-0.82,,,89.3,,270.389,Catalina,1976b Zellner,0.0,
1,Ceres,73/4/22,0.38,2441794.88,G,0.518,15.11,15.1094,0.76,0.03,,,-0.76,,,89.1,,270.388,Catalina,1976b Zellner,0.0,
1,Ceres,73/5/2,0.39,2441804.89,B,0.435,12.05,12.059,1.33,0.04,,,-1.33,,,89.5,,269.12,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/2,0.39,2441804.89,G,0.518,12.05,12.059,1.26,0.06,,,-1.26,,,89.4,,269.12,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/2,0.39,2441804.89,U,0.362,12.05,12.059,1.22,0.12,,,-1.21,,,89.1,,269.12,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/8,0.39,2441810.89,G,0.518,9.95,9.9568,1.65,0.04,,,-1.65,,,90.3,,268.04,Steward  2.3,1976b Zellner,-0.01,
1,Ceres,73/5/8,0.39,2441810.89,U,0.362,9.95,9.9568,1.59,0.07,,,-1.59,,,90.3,,268.04,Steward  2.3,1976b Zellner,-0.01,
1,Ceres,73/5/8,0.4,2441810.9,B,0.435,9.95,9.9532,1.71,0.03,,,-1.71,,,90.8,,268.038,Steward  2.3,1976b Zellner,0.0,
1,Ceres,73/5/11,0.28,2441813.78,G,0.518,8.88,8.8815,1.67,0.02,,,-1.66,,,92.0,,267.325,Steward  2.3,1976b Zellner,0.0,
1,Ceres,73/5/11,0.29,2441813.79,B,0.435,8.88,8.8777,1.67,0.04,,,-1.67,,,91.6,,267.322,Steward  2.3,1976b Zellner,0.0,
1,Ceres,73/5/13,0.38,2441815.88,B,0.435,8.08,8.0779,1.72,0.04,,,-1.72,,,88.9,,266.673,Catalina,1976b Zellner,0.0,
1,Ceres,73/5/13,0.38,2441815.88,G,0.518,8.08,8.0779,1.69,0.04,,,-1.69,,,88.6,,266.673,Catalina,1976b Zellner,0.0,
1,Ceres,73/5/14,0.36,2441816.86,B,0.435,7.69,7.6971,1.77,0.04,,,-1.77,,,88.3,,266.317,Catalina,1976b Zellner,-0.01,
1,Ceres,73/5/14,0.37,2441816.87,G,0.518,7.69,7.6932,1.71,0.05,,,-1.71,,,89.0,,266.313,Catalina,1976b Zellner,0.0,
1,Ceres,73/6/2,0.37,2441835.87,B,0.435,1.11,1.1067,0.58,0.03,,,-0.58,,,89.9,,166.834,Catalina,1976b Zellner,0.0,
1,Ceres,73/6/2,0.38,2441835.88,G,0.518,1.11,1.108,0.65,0.04,,,-0.65,,,91.0,,166.624,Catalina,1976b Zellner,0.0,
1,Ceres,73/6/3,0.36,2441836.86,B,0.435,1.3,1.3004,0.69,0.02,,,-0.69,,,89.4,,148.876,Catalina,1976b Zellner,0.0,
1,Ceres,73/6/3,0.36,2441836.86,G,0.518,1.3,1.3004,0.71,0.03,,,-0.71,,,91.3,,148.876,Catalina,1976b Zellner,0.0,
1,Ceres,73/6/11,0.34,2441844.84,G,0.518,4.33,4.2708,1.48,0.07,,,-1.48,,,90.0,,109.698,Steward  2.3,1976b Zellner,0.06,
1,Ceres,73/6/11,0.35,2441844.85,B,0.435,4.33,4.2748,1.54,0.13,,,-1.54,,,89.2,,109.685,Steward  2.3,1976b Zellner,0.06,
1,Ceres,73/6/26,0.17,2441859.67,B,0.435,9.96,9.9531,1.63,0.04,,,-1.63,,,89.3,,102.305,Catalina,1976b Zellner,0.01,
1,Ceres,73/6/26,0.17,2441859.67,G,0.518,9.96,9.9531,1.58,0.06,,,-1.58,,,89.2,,102.305,Catalina,1976b Zellner,0.01,
1,Ceres,73/6/26,0.18,2441859.68,U,0.362,9.97,9.9566,1.56,0.15,,,-1.55,,,89.3,,102.303,Catalina,1976b Zellner,0.01,
1,Ceres,73/8/22,0.14,2441916.64,G,0.518,20.6,20.5863,0.66,0.05,,,0.66,,,1.6,,99.483,Catalina,1976b Zellner,0.01,
1,Ceres,74/6/7,0.44,2442205.94,G,0.518,19.88,19.8741,0.45,0.01,,,0.45,,,2.8,,247.399,Steward  2.3,1976b Zellner,0.01,
1,Ceres,74/6/7,0.46,2442205.96,U,0.362,19.88,19.8738,0.54,0.07,,,0.49,,,11.5,,247.401,Steward  2.3,1976b Zellner,0.01,
1,Ceres,74/6/12,0.44,2442210.94,U,0.362,19.74,19.7386,0.53,0.05,,,0.52,,,2.2,,248.054,Steward  2.3,1976b Zellner,0.0,
1,Ceres,74/7/11,0.46,2442239.96,U,0.362,16.7,16.715,0.31,0.03,,,-0.3,,,85.2,,254.459,Steward  2.3,1976b Zellner,-0.02,
1,Ceres,74/8/9,0.4,2442268.9,U,0.362,9.77,9.7769,1.56,0.05,,,-1.56,,,90.1,,273.327,Catalina,1976b Zellner,-0.01,
1,Ceres,74/9/8,0.34,2442298.84,U,0.362,5.93,5.9275,1.56,0.02,,,-1.56,,,90.5,,6.367,Steward  2.3,1976b Zellner,0.0,
1,Ceres,74/9/8,0.36,2442298.86,B,0.435,5.93,5.9311,1.69,0.01,,,-1.69,,,90.9,,6.436,Steward  2.3,1976b Zellner,0.0,
1,Ceres,74/9/8,0.36,2442298.86,G,0.518,5.93,5.9311,1.69,0.01,,,-1.69,,,91.2,,6.436,Steward  2.3,1976b Zellner,0.0,
1,Ceres,81/1/15,0.0,2444619.5,N10,10.0,3.7,3.8388,0.22,0.03,165.0,5.0,,,,,,158.738,,1983  Johnson,-0.14,
1,Ceres,81/2/5,0.0,2444640.5,N10,10.0,13.0,11.6571,0.6,0.12,137.0,7.0,,,,,,112.922,,1983  Johnson,1.34,
1,Ceres,86/3/6,0.98,2446496.48,U,0.362,7.5,7.2878,1.72,0.04,169.0,0.7,-1.69,,,84.3,176.2,175.324,Crimea   1.25,1987b Belskaya,0.21,0.88
1,Ceres,86/3/6,0.98,2446496.48,B,0.435,7.5,7.2878,1.69,0.01,169.5,0.2,-1.66,,,84.8,176.2,175.324,Crimea   1.25,1987b Belskaya,0.21,0.88
1,Ceres,86/3/6,0.98,2446496.48,V,0.559,7.5,7.2878,1.68,0.02,170.2,0.3,-1.66,,,85.5,176.2,175.324,Crimea   1.25,1987b Belskaya,0.21,0.88
1,Ceres,86/3/6,0.98,2446496.48,R,0.685,7.5,7.2878,1.63,0.01,170.4,0.2,-1.61,,,85.7,176.2,175.324,Crimea   1.25,1987b Belskaya,0.21,0.88
1,Ceres,86/3/6,0.98,2446496.48,I,0.952,7.5,7.2878,1.58,0.02,171.0,0.4,-1.56,,,86.3,176.2,175.324,Crimea   1.25,1987b Belskaya,0.21,0.88
1,Ceres,87/5/21,0.917,2446937.417,B,0.435,11.5,11.5467,1.44,0.05,86.7,1.0,-1.44,,,,269.1,268.963,Sanglok,Unpbl Kiselev,-0.05,0.14
1,Ceres,87/5/21,0.934,2446937.434,V,0.559,11.5,11.541,1.28,0.05,88.3,1.1,-1.28,,,,269.1,268.966,Sanglok,Unpbl Kiselev,-0.04,0.13
1,Ceres,87/5/21,0.948,2446937.448,R,0.685,11.5,11.5364,1.37,0.05,87.2,1.1,-1.37,,,,269.1,268.968,Sanglok,Unpbl Kiselev,-0.04,0.13
1,Ceres,88/8/7,0.344,2447380.844,U,0.362,14.7,14.6717,0.88,0.28,74.1,9.1,-0.86,,,84.5,,259.33,Tarija   0.6,Unpbl Rosenbush,0.03,
1,Ceres,88/8/7,0.344,2447380.844,B,0.435,14.7,14.6717,1.14,0.2,75.9,4.9,-1.13,,,86.3,,259.33,Tarija   0.6,Unpbl Rosenbush,0.03,
1,Ceres,88/8/7,0.344,2447380.844,V,0.559,14.7,14.6717,0.54,0.2,72.1,10.5,-0.52,,,82.5,,259.33,Tarija   0.6,Unpbl Rosenbush,0.03,
1,Ceres,88/8/7,0.344,2447380.844,R,0.685,14.7,14.6717,0.67,0.2,77.8,8.4,-0.67,,,88.2,,259.33,Tarija   0.6,Unpbl Rosenbush,0.03,
1,Ceres,88/8/23,0.724,2447397.224,R,0.685,10.4,10.4485,1.56,0.04,90.5,0.7,-1.56,,,,271.7,271.632,Sanglok,Unpbl Kiselev,-0.05,0.07
1,Ceres,88/8/23,0.817,2447397.317,B,0.435,10.4,10.4224,1.48,0.04,89.9,0.7,-1.48,,,,271.7,271.735,Sanglok,Unpbl Kiselev,-0.02,-0.04
1,Ceres,88/8/23,0.852,2447397.352,R,0.685,10.4,10.4126,1.51,0.08,91.6,1.7,-1.51,,,,271.7,271.774,Sanglok,Unpbl Kiselev,-0.01,-0.07
1,Ceres,88/9/4,0.23,2447408.73,U,0.362,7.4,7.2901,0.65,0.28,108.2,12.1,-0.65,,,86.8,,290.269,Tarija   0.6,Unpbl Rosenbush,0.11,
1,Ceres,88/9/4,0.23,2447408.73,B,0.435,7.4,7.2901,1.76,0.2,99.8,3.2,-1.68,,,78.4,,290.269,Tarija   0.6,Unpbl Rosenbush,0.11,
1,Ceres,88/9/4,0.23,2447408.73,V,0.559,7.4,7.2901,1.76,0.2,94.5,3.2,-1.46,,,73.1,,290.269,Tarija   0.6,Unpbl Rosenbush,0.11,
1,Ceres,88/9/4,0.23,2447408.73,R,0.685,7.4,7.2901,1.39,0.2,102.5,4.0,-1.32,,,81.1,,290.269,Tarija   0.6,Unpbl Rosenbush,0.11,
1,Ceres,88/9/5,0.207,2447409.707,U,0.362,7.1,7.0489,1.09,0.37,94.1,9.7,-0.84,,,70.4,,292.624,Tarija   0.6,Unpbl Rosenbush,0.05,
1,Ceres,88/9/5,0.207,2447409.707,B,0.435,7.1,7.0489,1.71,0.14,107.5,2.3,-1.67,,,83.8,,292.624,Tarija   0.6,Unpbl Rosenbush,0.05,
1,Ceres,88/9/5,0.207,2447409.707,V,0.559,7.1,7.0489,1.8,0.14,105.5,2.2,-1.73,,,81.8,,292.624,Tarija   0.6,Unpbl Rosenbush,0.05,
1,Ceres,88/9/5,0.207,2447409.707,R,0.685,7.1,7.0489,1.73,0.14,111.4,2.3,-1.72,,,87.7,,292.624,Tarija   0.6,Unpbl Rosenbush,0.05,
1,Ceres,88/9/6,0.19,2447410.69,U,0.362,6.9,6.8153,1.93,0.29,107.0,4.3,-1.83,,,80.6,,295.162,Tarija   0.6,Unpbl Rosenbush,0.08,
1,Ceres,88/9/6,0.19,2447410.69,B,0.435,6.9,6.8153,1.79,0.07,109.8,1.2,-1.74,,,83.4,,295.162,Tarija   0.6,Unpbl Rosenbush,0.08,
1,Ceres,88/9/6,0.19,2447410.69,V,0.559,6.9,6.8153,1.65,0.07,105.0,1.3,-1.52,,,78.6,,295.162,Tarija   0.6,Unpbl Rosenbush,0.08,
1,Ceres,88/9/6,0.19,2447410.69,R,0.685,6.9,6.8153,1.52,0.11,106.5,2.1,-1.43,,,80.1,,295.162,Tarija   0.6,Unpbl Rosenbush,0.08,
1,Ceres,88/9/7,0.272,2447411.772,U,0.362,6.7,6.5707,1.59,0.29,112.4,5.2,-1.54,,,82.9,,298.163,Tarija   0.6,Unpbl Rosenbush,0.13,
1,Ceres,88/9/7,0.272,2447411.772,B,0.435,6.7,6.5707,1.89,0.1,115.1,1.5,-1.87,,,85.6,,298.163,Tarija   0.6,Unpbl Rosenbush,0.13,
1,Ceres,88/9/7,0.272,2447411.772,V,0.559,6.7,6.5707,1.57,0.1,117.7,1.9,-1.57,,,88.2,,298.163,Tarija   0.6,Unpbl Rosenbush,0.13,
1,Ceres,88/9/7,0.272,2447411.772,R,0.685,6.7,6.5707,1.58,0.11,116.1,2.1,-1.57,,,86.6,,298.163,Tarija   0.6,Unpbl Rosenbush,0.13,
1,Ceres,88/9/30,0.123,2447434.623,U,0.362,7.3,7.2417,1.37,0.28,28.8,5.8,-1.34,,,96.4,,21.413,Tarija   0.6,Unpbl Rosenbush,0.06,
1,Ceres,88/9/30,0.123,2447434.623,B,0.435,7.3,7.2417,1.71,0.14,18.8,2.3,-1.7,,,86.4,,21.413,Tarija   0.6,Unpbl Rosenbush,0.06,
1,Ceres,88/9/30,0.123,2447434.623,V,0.559,7.3,7.2417,1.97,0.14,20.0,2.0,-1.96,,,87.6,,21.413,Tarija   0.6,Unpbl Rosenbush,0.06,
1,Ceres,88/9/30,0.123,2447434.623,R,0.685,7.3,7.2417,1.92,0.2,16.1,2.9,-1.87,,,83.7,,21.413,Tarija   0.6,Unpbl Rosenbush,0.06,
1,Ceres,88/10/4,0.122,2447438.622,U,0.362,8.3,8.296,1.31,0.28,18.3,6.1,-1.19,,,77.8,,29.707,Tarija   0.6,Unpbl Rosenbush,0.0,
1,Ceres,88/10/4,0.122,2447438.622,B,0.435,8.3,8.296,1.58,0.14,16.0,2.5,-1.38,,,75.5,,29.707,Tarija   0.6,Unpbl Rosenbush,0.0,
1,Ceres,88/10/4,0.122,2447438.622,V,0.559,8.3,8.296,1.72,0.11,17.2,1.9,-1.54,,,76.7,,29.707,Tarija   0.6,Unpbl Rosenbush,0.0,
1,Ceres,88/10/4,0.122,2447438.622,R,0.685,8.3,8.296,1.77,0.14,20.0,2.2,-1.65,,,79.5,,29.707,Tarija   0.6,Unpbl Rosenbush,0.0,
1,Ceres,88/10/6,0.08,2447440.58,U,0.362,8.8,8.8389,0.9,0.14,38.4,4.4,-0.89,,,94.7,,33.024,Tarija   0.6,Unpbl Rosenbush,-0.04,
1,Ceres,88/10/6,0.08,2447440.58,B,0.435,8.8,8.8389,1.57,0.14,37.3,2.5,-1.56,,,93.6,,33.024,Tarija   0.6,Unpbl Rosenbush,-0.04,
1,Ceres,88/10/6,0.08,2447440.58,V,0.559,8.8,8.8389,1.86,0.14,40.9,2.1,-1.8,,,97.2,,33.024,Tarija   0.6,Unpbl Rosenbush,-0.04,
1,Ceres,88/10/6,0.08,2447440.58,R,0.685,8.8,8.8389,1.42,0.14,38.5,2.8,-1.4,,,94.8,,33.024,Tarija   0.6,Unpbl Rosenbush,-0.04,
1,Ceres,91/4/6,0.92,2448353.42,U,0.362,7.1,7.1275,1.7,0.04,64.4,0.7,-1.7,,,88.6,243.0,243.692,Crimea   1.25,Unpbl Lupishko,-0.03,-0.69
1,Ceres,91/4/6,0.92,2448353.42,B,0.435,7.1,7.1275,1.65,0.02,64.4,0.3,-1.65,,,88.6,243.0,243.692,Crimea   1.25,Unpbl Lupishko,-0.03,-0.69
1,Ceres,91/4/6,0.92,2448353.42,V,0.559,7.1,7.1275,1.61,0.02,64.8,0.3,-1.61,,,88.2,243.0,243.692,Crimea   1.25,Unpbl Lupishko,-0.03,-0.69
1,Ceres,91/4/6,0.92,2448353.42,R,0.685,7.1,7.1275,1.52,0.01,64.0,0.3,-1.52,,,89.0,243.0,243.692,Crimea   1.25,Unpbl Lupishko,-0.03,-0.69
1,Ceres,91/4/6,0.92,2448353.42,I,0.952,7.1,7.1275,1.56,0.01,64.1,0.3,-1.56,,,88.9,243.0,243.692,Crimea   1.25,Unpbl Lupishko,-0.03,-0.69
1,Ceres,91/5/2,0.83,2448379.33,U,0.362,8.3,8.2103,1.57,0.04,144.5,0.7,-1.57,,,89.3,145.2,145.666,Crimea   1.25,Unpbl Lupishko,0.09,-0.47
1,Ceres,91/5/2,0.83,2448379.33,B,0.435,8.3,8.2103,1.57,0.02,145.1,0.4,-1.57,,,89.9,145.2,145.666,Crimea   1.25,Unpbl Lupishko,0.09,-0.47
1,Ceres,91/5/2,0.83,2448379.33,V,0.559,8.3,8.2103,1.56,0.02,144.0,0.4,-1.56,,,88.8,145.2,145.666,Crimea   1.25,Unpbl Lupishko,0.09,-0.47
1,Ceres,91/5/2,0.83,2448379.33,R,0.685,8.3,8.2103,1.41,0.02,144.5,0.3,-1.41,,,89.3,145.2,145.666,Crimea   1.25,Unpbl Lupishko,0.09,-0.47
1,Ceres,91/5/2,0.83,2448379.33,I,0.952,8.3,8.2103,1.42,0.02,144.6,0.3,-1.42,,,89.4,145.2,145.666,Crimea   1.25,Unpbl Lupishko,0.09,-0.47
1,Ceres,93/10/1,0.921,2449262.421,U,0.362,9.4,9.3835,1.44,0.07,95.2,1.4,-1.44,,,,276.2,276.271,Crimea   1.25,Unpbl Lupishko,0.02,-0.07
1,Ceres,93/10/1,0.921,2449262.421,B,0.435,9.4,9.3835,1.49,0.05,93.8,1.0,-1.49,,,,276.2,276.271,Crimea   1.25,Unpbl Lupishko,0.02,-0.07
1,Ceres,93/10/1,0.921,2449262.421,V,0.559,9.4,9.3835,1.49,0.06,95.7,1.2,-1.49,,,,276.2,276.271,Crimea   1.25,Unpbl Lupishko,0.02,-0.07
1,Ceres,93/10/1,0.921,2449262.421,R,0.685,9.4,9.3835,1.45,0.05,95.3,0.9,-1.45,,,,276.2,276.271,Crimea   1.25,Unpbl Lupishko,0.02,-0.07
1,Ceres,93/10/1,0.921,2449262.421,I,0.952,9.4,9.3835,1.5,0.05,96.8,1.0,-1.5,,,,276.2,276.271,Crimea   1.25,Unpbl Lupishko,0.02,-0.07
1,Ceres,93/10/2,0.93,2449263.43,U,0.362,9.1,9.0639,1.38,0.07,99.4,1.4,-1.38,,,,277.4,277.471,Crimea   1.25,Unpbl Lupishko,0.04,-0.07
1,Ceres,93/10/2,0.93,2449263.43,B,0.435,9.1,9.0639,1.33,0.08,98.4,1.6,-1.33,,,,277.4,277.471,Crimea   1.25,Unpbl Lupishko,0.04,-0.07
1,Ceres,93/10/2,0.93,2449263.43,V,0.559,9.1,9.0639,1.36,0.07,98.5,1.5,-1.36,,,,277.4,277.471,Crimea   1.25,Unpbl Lupishko,0.04,-0.07
1,Ceres,93/10/2,0.93,2449263.43,R,0.685,9.1,9.0639,1.39,0.06,99.5,1.1,-1.39,,,,277.4,277.471,Crimea   1.25,Unpbl Lupishko,0.04,-0.07
1,Ceres,93/10/2,0.93,2449263.43,I,0.952,9.1,9.0639,1.32,0.06,97.9,1.4,-1.32,,,,277.4,277.471,Crimea   1.25,Unpbl Lupishko,0.04,-0.07
