num,name,date,date_frac,jd,filter,wlen,alpha,alpha_jpl,pol,dpol,thp,dthp,Pr,dPr,pols,thr,PsAng,PsAng_jpl,observatory,reference,dalpha,dPsAng
1,Ceres,93/10/3,0.955,2449264.455,U,0.362,8.7,8.7387,1.5,0.06,97.7,1.1,-1.5,,,,278.7,278.785,Crimea   1.25,Unpbl Lupishko,-0.04,-0.09
1,Ceres,93/10/3,0.955,2449264.455,B,0.435,8.7,8.7387,1.54,0.02,95.1,0.4,-1.54,,,,278.7,278.785,Crimea   1.25,Unpbl Lupishko,-0.04,-0.09
1,Ceres,93/10/3,0.955,2449264.455,V,0.559,8.7,8.7387,1.52,0.04,96.1,0.7,-1.52,,,,278.7,278.785,Crimea   1.25,Unpbl Lupishko,-0.04,-0.09
1,Ceres,93/10/3,0.955,2449264.455,R,0.685,8.7,8.7387,1.54,0.04,93.9,0.8,-1.54,,,,278.7,278.785,Crimea   1.25,Unpbl Lupishko,-0.04,-0.09
1,Ceres,93/10/3,0.955,2449264.455,I,0.952,8.7,8.7387,1.52,0.06,93.3,1.0,-1.52,,,,278.7,278.785,Crimea   1.25,Unpbl Lupishko,-0.04,-0.09
1,Ceres,93/11/15,0.76,2449307.26,B,0.435,10.2,10.2431,1.57,0.08,48.1,1.5,-1.57,,,,49.3,49.328,Crimea   1.25,Unpbl Lupishko,-0.04,-0.03
1,Ceres,93/11/15,0.76,2449307.26,R,0.685,10.2,10.2431,1.53,0.05,47.8,0.8,-1.53,,,,49.3,49.328,Crimea   1.25,Unpbl Lupishko,-0.04,-0.03
1,Ceres,93/11/15,0.76,2449307.26,I,0.952,10.2,10.2431,1.46,0.03,49.4,0.5,-1.46,,,,49.3,49.328,Crimea   1.25,Unpbl Lupishko,-0.04,-0.03
1,Ceres,93/11/17,0.83,2449309.33,U,0.362,10.9,10.899,1.33,0.07,50.7,1.6,-1.33,,,,51.1,51.181,Crimea   1.25,Unpbl Lupishko,0.0,-0.08
1,Ceres,93/11/17,0.83,2449309.33,V,0.559,10.9,10.899,1.42,0.06,52.3,1.2,-1.42,,,,51.1,51.181,Crimea   1.25,Unpbl Lupishko,0.0,-0.08
1,Ceres,93/11/17,0.83,2449309.33,R,0.685,10.9,10.899,1.42,0.1,50.4,2.0,-1.42,,,,51.1,51.181,Crimea   1.25,Unpbl Lupishko,0.0,-0.08
1,Ceres,93/11/17,0.83,2449309.33,I,0.952,10.9,10.899,1.42,0.09,50.8,1.8,-1.42,,,,51.1,51.181,Crimea   1.25,Unpbl Lupishko,0.0,-0.08
1,Ceres,93/11/20,0.8,2449312.3,U,0.362,11.8,11.817,1.27,0.05,51.8,1.1,-1.27,,,,53.4,53.453,Crimea   1.25,Unpbl Lupishko,-0.02,-0.05
1,Ceres,93/11/20,0.8,2449312.3,B,0.435,11.8,11.817,1.38,0.02,53.9,0.5,-1.38,,,,53.4,53.453,Crimea   1.25,Unpbl Lupishko,-0.02,-0.05
1,Ceres,93/11/20,0.8,2449312.3,V,0.559,11.8,11.817,1.33,0.05,54.3,1.0,-1.33,,,,53.4,53.453,Crimea   1.25,Unpbl Lupishko,-0.02,-0.05
1,Ceres,93/11/20,0.8,2449312.3,R,0.685,11.8,11.817,1.27,0.03,53.2,0.6,-1.27,,,,53.4,53.453,Crimea   1.25,Unpbl Lupishko,-0.02,-0.05
1,Ceres,93/11/20,0.8,2449312.3,I,0.952,11.8,11.817,1.23,0.04,53.2,0.9,-1.23,,,,53.4,53.453,Crimea   1.25,Unpbl Lupishko,-0.02,-0.05
1,Ceres,98/11/23,0.96,2451141.46,U,0.362,2.71,2.713,1.01,0.05,113.4,1.3,-1.01,,,87.6,,295.753,Crimea   1.25,2009b Belskaya,0.0,
1,Ceres,98/11/23,0.96,2451141.46,B,0.435,2.71,2.713,1.01,0.04,114.4,1.2,-1.01,,,88.7,,295.753,Crimea   1.25,2009b Belskaya,0.0,
1,Ceres,98/11/23,0.96,2451141.46,V,0.559,2.71,2.713,1.05,0.03,115.0,0.9,-1.04,,,89.2,,295.753,Crimea   1.25,2009b Belskaya,0.0,
1,Ceres,98/11/23,0.96,2451141.46,R,0.685,2.71,2.713,1.06,0.03,113.6,0.8,-1.05,,,87.8,,295.753,Crimea   1.25,2009b Belskaya,0.0,
1,Ceres,98/11/23,0.96,2451141.46,I,0.952,2.71,2.713,1.02,0.03,115.0,0.7,-1.02,,,89.2,,295.753,Crimea   1.25,2009b Belskaya,0.0,
1,Ceres,05/9/28,0.0,2453641.5,U,0.362,17.29,17.302,,0.26,,8.2,0.17,,,38.6,,101.554,CASLEO   2.15,2014  Gil-Hutton,-0.01,
1,Ceres,05/9/28,0.0,2453641.5,B,0.435,17.29,17.302,,0.11,,15.5,-0.11,,,70.0,,101.554,CASLEO   2.15,2014  Gil-Hutton,-0.01,
1,Ceres,05/9/28,0.0,2453641.5,V,0.559,17.29,17.302,,0.11,,9.2,-0.2,,,107.4,,101.554,CASLEO   2.15,2014  Gil-Hutton,-0.01,
1,Ceres,05/9/28,0.0,2453641.5,R,0.685,17.29,17.302,,0.06,,7.0,-0.23,,,87.7,,101.554,CASLEO   2.15,2014  Gil-Hutton,-0.01,
1,Ceres,05/9/28,0.0,2453641.5,I,0.952,17.29,17.302,,0.13,,7.8,-0.35,,,100.6,,101.554,CASLEO   2.15,2014  Gil-Hutton,-0.01,
1,Ceres,06/8/27,0.0,2453974.5,U,0.362,7.3,7.2073,,0.04,,0.7,-1.55,,,92.6,,32.339,CASLEO   2.15,2014  Gil-Hutton,0.09,
1,Ceres,06/8/27,0.0,2453974.5,B,0.435,7.3,7.2073,,0.04,,0.7,-1.71,,,93.1,,32.339,CASLEO   2.15,2014  Gil-Hutton,0.09,
1,Ceres,06/8/27,0.0,2453974.5,V,0.559,7.3,7.2073,,0.04,,0.8,-1.64,,,90.7,,32.339,CASLEO   2.15,2014  Gil-Hutton,0.09,
1,Ceres,06/8/27,0.0,2453974.5,R,0.685,7.3,7.2073,,0.04,,0.7,-1.63,,,91.7,,32.339,CASLEO   2.15,2014  Gil-Hutton,0.09,
1,Ceres,06/8/27,0.0,2453974.5,I,0.952,7.3,7.2073,,0.05,,0.7,-1.7,,,88.9,,32.339,CASLEO   2.15,2014  Gil-Hutton,0.09,
1,Ceres,07/9/5,0.0,2454348.5,U,0.362,19.46,19.4932,,0.07,,4.6,0.36,,,3.5,,259.175,CASLEO   2.15,2014  Gil-Hutton,-0.03,
1,Ceres,07/9/5,0.0,2454348.5,B,0.435,19.46,19.4932,,0.04,,6.5,0.12,,,14.3,,259.175,CASLEO   2.15,2014  Gil-Hutton,-0.03,
1,Ceres,07/9/5,0.0,2454348.5,V,0.559,19.46,19.4932,,0.18,,9.9,0.24,,,24.1,,259.175,CASLEO   2.15,2014  Gil-Hutton,-0.03,
1,Ceres,07/9/5,0.0,2454348.5,R,0.685,19.46,19.4932,,0.16,,9.7,0.26,,,17.9,,259.175,CASLEO   2.15,2014  Gil-Hutton,-0.03,
1,Ceres,07/9/5,0.0,2454348.5,I,0.952,19.46,19.4932,,0.15,,13.5,0.21,,,11.9,,259.175,CASLEO   2.15,2014  Gil-Hutton,-0.03,
1,Ceres,07/11/3,0.0,2454407.5,V,0.559,4.3,4.3446,1.4,0.1,124.8,2.1,-1.4,,,,122.9,303.188,CASLEO,2012  Gil-Hutton,-0.04,-0.29
1,Ceres,07/11/3,0.0,2454407.5,V,0.559,4.3,4.3446,1.38,0.06,126.5,1.3,-1.36,,,,122.9,303.188,CASLEO,2012  Gil-Hutton,-0.04,-0.29
1,Ceres,07/11/11,0.0,2454415.5,V,0.559,3.2,3.2253,1.19,0.07,167.7,1.0,-1.19,,,,174.1,354.706,CASLEO,2012  Gil-Hutton,-0.03,-0.61
1,Ceres,07/11/13,0.0,2454417.5,V,0.559,3.5,3.454,1.2,0.09,178.2,1.5,-1.12,,,,8.5,9.026,CASLEO,2012  Gil-Hutton,0.05,-0.53
1,Ceres,09/2/19,0.886,2454882.386,U,0.362,6.8,6.8761,1.67,0.03,49.4,0.6,-1.67,,,,,227.214,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,09/2/19,0.886,2454882.386,B,0.435,6.8,6.8761,1.59,0.03,46.6,0.5,-1.59,,,,,227.214,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,09/2/19,0.886,2454882.386,V,0.559,6.8,6.8761,1.67,0.03,48.8,0.6,-1.67,,,,,227.214,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,09/2/19,0.886,2454882.386,R,0.685,6.8,6.8761,1.59,0.04,48.3,0.7,-1.59,,,,,227.214,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,09/2/19,0.886,2454882.386,I,0.952,6.8,6.8761,1.6,0.04,49.2,0.6,-1.6,,,,,227.214,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,09/2/20,0.023,2454882.523,U,0.362,6.8,6.8542,1.82,0.05,46.8,0.8,-1.82,,,,,226.695,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,09/2/20,0.023,2454882.523,B,0.435,6.8,6.8542,1.62,0.03,46.5,0.6,-1.62,,,,,226.695,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,09/2/20,0.023,2454882.523,V,0.559,6.8,6.8542,1.65,0.03,45.9,0.5,-1.65,,,,,226.695,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,09/2/20,0.023,2454882.523,R,0.685,6.8,6.8542,1.6,0.03,46.8,0.6,-1.6,,,,,226.695,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,09/2/20,0.023,2454882.523,I,0.952,6.8,6.8542,1.58,0.03,47.1,0.5,-1.58,,,,,226.695,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,11/7/29,0.062,2455771.562,U,0.362,16.4,16.4502,1.26,0.18,81.6,4.2,-1.26,,,,,255.404,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,11/7/29,0.062,2455771.562,B,0.435,16.4,16.4502,0.67,0.06,68.5,2.6,-0.67,,,,,255.404,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,11/7/29,0.062,2455771.562,V,0.559,16.4,16.4502,0.41,0.05,85.1,3.5,-0.41,,,,,255.404,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,11/7/29,0.062,2455771.562,R,0.685,16.4,16.4502,0.34,0.03,71.9,2.3,-0.34,,,,,255.404,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,11/7/29,0.062,2455771.562,I,0.952,16.4,16.4502,0.29,0.03,72.0,3.0,-0.29,,,,,255.404,Crimea   1.25,Unpbl Kiselev,-0.05,
1,Ceres,11/9/6,0.014,2455810.514,U,0.362,6.6,6.728,1.49,0.08,109.8,1.6,-1.49,,,,,295.958,Crimea   1.25,Unpbl Kiselev,-0.13,
1,Ceres,11/9/6,0.014,2455810.514,B,0.435,6.6,6.728,1.62,0.04,112.0,0.7,-1.62,,,,,295.958,Crimea   1.25,Unpbl Kiselev,-0.13,
1,Ceres,11/9/6,0.014,2455810.514,V,0.559,6.6,6.728,1.74,0.04,115.6,0.6,-1.74,,,,,295.958,Crimea   1.25,Unpbl Kiselev,-0.13,
1,Ceres,11/9/6,0.014,2455810.514,R,0.685,6.6,6.728,1.67,0.02,113.6,0.4,-1.67,,,,,295.958,Crimea   1.25,Unpbl Kiselev,-0.13,
1,Ceres,11/9/6,0.014,2455810.514,I,0.952,6.6,6.728,1.74,0.02,113.7,0.4,-1.74,,,,,295.958,Crimea   1.25,Unpbl Kiselev,-0.13,
1,Ceres,12/10/23,0.004,2456223.504,U,0.362,19.1,19.1769,0.33,0.08,18.0,6.7,-0.33,,,,,272.152,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/10/23,0.004,2456223.504,B,0.435,19.1,19.1769,0.31,0.04,0.2,3.7,-0.31,,,,,272.152,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/10/23,0.004,2456223.504,V,0.559,19.1,19.1769,0.08,0.06,8.6,17.8,-0.08,,,,,272.152,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/10/23,0.004,2456223.504,R,0.685,19.1,19.1769,0.24,0.02,4.2,2.4,-0.24,,,,,272.152,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/10/23,0.004,2456223.504,I,0.952,19.1,19.1769,0.32,0.02,1.4,2.1,-0.32,,,,,272.152,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/11/15,0.857,2456247.357,U,0.362,13.3,13.3836,1.81,0.14,95.2,2.2,-1.81,,,,,271.507,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/11/15,0.857,2456247.357,B,0.435,13.3,13.3836,1.12,0.06,96.8,1.6,-1.12,,,,,271.507,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/11/15,0.857,2456247.357,V,0.559,13.3,13.3836,1.16,0.07,94.5,1.7,-1.16,,,,,271.507,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/11/15,0.857,2456247.357,R,0.685,13.3,13.3836,0.98,0.04,88.7,1.1,-0.98,,,,,271.507,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,12/11/15,0.857,2456247.357,I,0.952,13.3,13.3836,1.01,0.04,91.4,1.2,-1.01,,,,,271.507,Crimea   1.25,Unpbl Kiselev,-0.08,
1,Ceres,16/11/1,0.915,2457694.415,WR,0.65,6.38,6.3764,1.77,0.03,28.5,0.5,-1.77,,,-90.6,29.1,29.109,Crimea   2.6,Unpbl Kiselev,0.0,-0.01
1,Ceres,16/11/1,0.904,2457694.404,R,0.685,6.37,6.3733,1.75,0.2,38.0,3.2,-1.67,,,-81.1,29.1,29.08,Crimea   2.6,Unpbl Kiselev,0.0,0.02
1,Ceres,19/4/5,0.98,2458579.48,B,0.435,18.3,18.2744,0.03,0.02,171.2,21.6,0.03,,,-11.7,273.0,272.966,Terskol  2.0,Unpbl Kiselev,0.03,0.03
1,Ceres,19/4/5,0.97,2458579.47,V,0.559,18.3,18.2763,0.04,0.02,15.9,12.8,0.04,,,13.0,273.0,272.967,Terskol  2.0,Unpbl Kiselev,0.02,0.03
1,Ceres,19/4/5,0.97,2458579.47,R,0.685,18.3,18.2763,0.11,0.02,65.0,4.3,-0.06,,,62.0,273.0,272.967,Terskol  2.0,Unpbl Kiselev,0.02,0.03
1,Ceres,19/4/5,0.98,2458579.48,I,0.952,18.3,18.2744,0.06,0.02,51.9,8.6,-0.01,,,49.0,273.0,272.966,Terskol  2.0,Unpbl Kiselev,0.03,0.03
4,Vesta,58/11/4,0.5,2436512.0,V,0.559,22.58,23.0215,0.26,,,,-0.26,,,88.0,,285.353,McDonald 2.1,1974  Zellner,-0.44,
4,Vesta,58/12/7,0.29,2436544.79,V,0.559,19.41,19.4591,0.18,,,,-0.09,,,60.0,,285.733,McDonald 0.9,1974  Zellner,-0.05,
4,Vesta,58/12/15,0.25,2436552.75,V,0.559,17.75,17.5097,0.26,,,,-0.25,,,84.0,,285.057,McDonald 0.9,1974  Zellner,0.24,
4,Vesta,59/2/4,0.38,2436603.88,V,0.559,5.13,5.0724,0.55,,,,-0.55,,,89.0,,125.434,McDonald 0.9,1974  Zellner,0.06,
4,Vesta,59/2/17,0.36,2436616.86,V,0.559,11.07,11.024,0.59,,,,-0.58,,,84.0,,112.546,McDonald 0.9,1974  Zellner,0.05,
4,Vesta,59/2/18,0.33,2436617.83,V,0.559,11.42,11.441,0.53,,,,-0.53,,,91.0,,112.075,McDonald 0.9,1974  Zellner,-0.02,
4,Vesta,59/4/25,0.13,2436683.63,I,0.952,24.81,24.7979,0.11,,,,0.08,,,10.0,,103.883,McDonald 2.1,1974  Zellner,0.01,
4,Vesta,59/4/25,0.13,2436683.63,O,0.645,24.81,24.7979,0.48,,,,0.43,,,11.0,,103.883,McDonald 2.1,1974  Zellner,0.01,
4,Vesta,59/4/28,0.19,2436686.69,I,0.952,24.83,24.8123,0.22,,,,0.15,,,24.0,,103.948,McDonald 2.1,1974  Zellner,0.02,
4,Vesta,59/4/28,0.19,2436686.69,V,0.559,24.83,24.8123,0.1,,,,0.09,,,11.0,,103.948,McDonald 2.1,1974  Zellner,0.02,
4,Vesta,59/4/28,0.19,2436686.69,O,0.645,24.83,24.8123,0.11,,,,0.1,,,8.0,,103.948,McDonald 2.1,1974  Zellner,0.02,
4,Vesta,67/4/18,0.41,2439598.91,I,0.952,14.76,14.8118,0.51,0.08,,,-0.51,,,91.2,,265.375,Catalina,1974  Zellner,-0.05,
4,Vesta,67/4/18,0.39,2439598.89,O,0.645,14.76,14.8199,0.54,0.05,,,-0.54,,,88.2,,265.388,Catalina,1974  Zellner,-0.06,
4,Vesta,67/4/18,0.33,2439598.83,G,0.518,14.78,14.844,0.59,0.03,,,-0.59,,,90.2,,265.426,Catalina,1974  Zellner,-0.06,
4,Vesta,67/4/18,0.35,2439598.85,B,0.435,14.77,14.8359,0.41,0.07,,,-0.4,,,95.0,,265.413,Catalina,1974  Zellner,-0.07,
4,Vesta,67/4/18,0.34,2439598.84,U,0.362,14.78,14.8399,0.69,0.07,,,-0.68,,,86.2,,265.419,Catalina,1974  Zellner,-0.06,
4,Vesta,67/4/18,0.37,2439598.87,N,0.333,14.77,14.8279,0.77,0.1,,,-0.76,,,94.0,,265.4,Catalina,1974  Zellner,-0.06,
4,Vesta,67/6/9,0.29,2439650.79,I,0.952,13.51,13.4962,0.62,0.07,,,-0.59,,,81.0,,120.235,Catalina,1974  Zellner,0.01,
4,Vesta,67/6/9,0.28,2439650.78,O,0.645,13.5,13.4918,0.62,0.03,,,-0.62,,,93.0,,120.243,Catalina,1974  Zellner,0.01,
4,Vesta,67/6/9,0.34,2439650.84,G,0.518,13.52,13.518,0.55,0.02,,,-0.53,,,82.0,,120.197,Catalina,1974  Zellner,0.0,
4,Vesta,67/6/9,0.37,2439650.87,B,0.435,13.54,13.5311,0.58,0.02,,,-0.56,,,82.0,,120.174,Catalina,1974  Zellner,0.01,
4,Vesta,67/6/9,35.0,2439685.5,U,0.362,13.53,24.6932,0.43,0.06,,,-0.4,,,80.0,,108.212,Catalina,1974  Zellner,-11.16,
4,Vesta,67/6/9,0.33,2439650.83,N,0.333,13.52,13.5137,0.3,0.14,,,-0.29,,,82.0,,120.205,Catalina,1974  Zellner,0.01,
4,Vesta,71/11/28,0.08,2441283.58,B,0.435,23.32,23.3201,0.15,0.08,,,0.15,,,,,74.74,Catalina,1974  Zellner,0.0,
4,Vesta,72/8/31,0.53,2441561.03,G,0.518,23.32,23.3278,0.11,0.05,,,0.11,,,,,262.142,MaunaKea 2.2,1974  Zellner,-0.01,
4,Vesta,72/9/6,0.55,2441567.05,G,0.518,23.29,23.2916,0.12,0.1,,,0.12,,,,,263.177,MaunaKea 0.6,1974  Zellner,0.0,
4,Vesta,73/4/6,0.14,2441778.64,G,0.518,20.12,20.1229,0.06,0.07,,,-0.06,,,90.2,,85.168,Catalina,1976b Zellner,0.0,
4,Vesta,73/4/6,0.15,2441778.65,B,0.435,20.12,20.1217,0.03,0.03,,,-0.03,,,89.0,,85.169,Catalina,1976b Zellner,0.0,
4,Vesta,73/4/13,0.16,2441785.66,G,0.518,19.24,19.2424,0.22,0.04,,,-0.22,,,90.9,,86.161,Steward,1976b Zellner,0.0,
4,Vesta,73/10/25,0.51,2441981.01,B,0.435,17.77,17.7695,0.27,0.04,,,-0.27,,,87.2,,296.541,Catalina,1976b Zellner,0.0,
4,Vesta,73/10/25,0.53,2441981.03,G,0.518,17.77,17.7729,0.25,0.07,,,-0.24,,,95.5,,296.541,Catalina,1976b Zellner,0.0,
4,Vesta,73/10/27,0.52,2441983.02,G,0.518,18.29,18.1052,0.27,0.13,,,-0.27,,,89.9,,296.532,Steward  0.5,1976b Zellner,0.18,
4,Vesta,73/12/10,0.54,2442027.04,B,0.435,23.83,23.8311,0.16,0.02,,,0.16,,,0.0,,294.954,Steward  2.3,1976b Zellner,0.0,
4,Vesta,73/12/10,0.55,2442027.05,G,0.518,23.83,23.8319,0.13,0.02,,,0.13,,,0.0,,294.954,Steward  2.3,1976b Zellner,0.0,
4,Vesta,73/12/28,0.56,2442045.06,B,0.435,24.84,24.8146,0.22,0.03,,,0.22,,,-0.3,,293.4,Catalina,1976b Zellner,0.03,
4,Vesta,73/12/28,0.57,2442045.07,G,0.518,24.84,24.8148,0.19,0.06,,,0.19,,,-0.3,,293.399,Catalina,1976b Zellner,0.03,
4,Vesta,73/12/28,0.58,2442045.08,U,0.362,24.84,24.815,0.27,0.06,,,0.27,,,-0.2,,293.398,Catalina,1976b Zellner,0.02,
4,Vesta,73/12/30,0.51,2442047.01,B,0.435,24.84,24.8516,0.24,0.04,,,0.24,,,-0.3,,293.193,Catalina,1976b Zellner,-0.01,
4,Vesta,73/12/30,0.51,2442047.01,G,0.518,24.84,24.8516,0.21,0.04,,,0.21,,,1.2,,293.193,Catalina,1976b Zellner,-0.01,
4,Vesta,73/12/30,0.52,2442047.02,U,0.362,24.84,24.8517,0.27,0.14,,,0.27,,,-0.2,,293.192,Catalina,1976b Zellner,-0.01,
4,Vesta,74/2/22,0.35,2442100.85,G,0.518,17.81,17.8186,0.29,0.02,,,-0.29,,,90.6,,281.368,Catalina,1976b Zellner,-0.01,
4,Vesta,74/2/22,0.36,2442100.86,B,0.435,17.8,17.8156,0.23,0.01,,,-0.22,,,94.5,,281.364,Catalina,1976b Zellner,-0.02,
4,Vesta,74/2/22,0.38,2442100.88,U,0.362,17.8,17.8094,0.29,0.02,,,-0.29,,,94.0,,281.355,Catalina,1976b Zellner,-0.01,
4,Vesta,74/4/1,39.0,2442177.5,R,0.685,5.58,19.2126,0.72,0.08,,,-0.72,,,93.1,,124.581,Catalina,1976b Zellner,-13.63,
4,Vesta,74/4/1,0.38,2442138.88,U,0.362,5.58,5.6234,0.58,0.01,,,-0.57,,,92.8,,200.422,Catalina,1976b Zellner,-0.04,
4,Vesta,74/4/5,0.38,2442142.88,U,0.362,5.91,6.1329,0.7,0.02,,,-0.68,,,83.4,,179.448,Catalina,1976b Zellner,-0.22,
4,Vesta,74/4/5,0.4,2442142.9,I,0.952,5.95,6.1372,0.76,0.05,,,-0.75,,,85.9,,179.353,Catalina,1976b Zellner,-0.19,
4,Vesta,74/4/5,0.42,2442142.92,R,0.685,5.05,6.1415,0.82,0.01,,,-0.81,,,84.2,,179.259,Catalina,1976b Zellner,-1.09,
4,Vesta,74/4/5,0.44,2442142.94,O,0.645,5.95,6.1459,0.81,0.02,,,-0.8,,,85.5,,179.165,Catalina,1976b Zellner,-0.2,
