astnum,obj,filt,wlen,h,dh,Pmin,dPmin,amin,damin,a0,status
1,Ceres,U,0.362,0.243,0.002,-1.72,0.1,7.1,0.3,18.01,3
1,Ceres,B,0.435,0.256,0.001,-1.74,0.06,7.3,0.2,18.16,3
1,Ceres,G,0.518,0.249,0.001,-1.75,0.04,7.2,0.1,18.1,3
1,Ceres,V,0.559,0.253,0.002,-1.63,0.08,7.6,0.2,18.23,3
1,Ceres,R,0.685,0.28,0.001,-1.59,0.04,8.2,0.1,18.3,1
1,Ceres,I,0.952,0.27,0.002,-1.55,0.08,8.1,0.2,18.18,1.5
4,Vesta,B,0.435,0.068,0.001,-0.67,0.03,7.6,0.3,21.3,3
4,Vesta,G,0.518,0.069,0.001,-0.89,0.04,6.4,0.3,21.9,1
4,Vesta,V,0.559,0.058,0.001,-0.59,0.09,8.3,1.1,22.7,3
4,Vesta,R,0.685,0.073,0.001,-0.77,0.06,7.8,0.5,22.12,3
4,Vesta,I,0.952,0.062,0.001,-0.78,0.03,7.3,0.2,23.1,3